Status,Champion,Runes,KDA,BlueTeamSummoners,BlueTeamChampions,RedTeamSummoners,RedTeamChampions
Victory,Nami,"['Electrocute', 'Sorcery']",6 / 3 / 18,"['Wahib4', 'Exploit301004', 'TheArcher34', '34maiky34', 'Wanderlusted']","['Irelia', 'Nocturne', 'Morgana', 'Samira', 'Nami']","['hoverslay', 'Mandennorena', '1PH4NTOM 1', 'KinkSlayer420', 'Fifarinatese']","['Gangplank', ""Bel'Veth"", 'Anivia', 'Twitch', 'Sivir']"
Defeat,Vel'Koz,"['Arcane Comet', 'Inspiration']",3 / 9 / 9,"['CrimsonFFF', 'rpfmc', 'K1K0Senpaii', '34maiky34', 'Wanderlusted']","['Warwick', 'Gragas', 'Yasuo', 'Samira', ""Vel'Koz""]","['CAMELBEAR', 'For', 'eventesgrandmort', 'xanial', 'GiGiSwing']","['Aatrox', ""Bel'Veth"", 'Viktor', 'Jhin', 'Swain']"
Victory,Nami,"['Electrocute', 'Sorcery']",2 / 5 / 14,"['SiegoV', 'InsasseDaLEGEND', 'hero4445612', 'Schabanane', 'Karostrophe']","['Sett', 'Viego', 'Mordekaiser', 'Shaco', 'Miss Fortune']","['Capote Trouéε', 'King of Torment', 'Yausaigi', '34maiky34', 'Wanderlusted']","['Illaoi', 'Vi', 'Anivia', 'Vayne', 'Nami']"
Defeat,Nami,"['Electrocute', 'Sorcery']",5 / 1 / 30,"['Jim Carryme1999', 'has181', 'rrRosa', '1kkiKUROGANE', 'ttpf']","['Yorick', 'Wukong', 'Azir', 'Gangplank', 'Thresh']","['Anxop', 'Rodr1nis12', 'TheArcher34', '34maiky34', 'Wanderlusted']","['Dr. Mundo', 'Graves', 'Annie', 'Samira', 'Nami']"
Defeat,Yuumi,"['Summon Aery', 'Precision']",0 / 6 / 3,"['Luca Ist Doof', 'envyderrick', 'RAT IN THE HAT', 'm1gueI', 'BM Tamino']","['Katarina', 'Volibear', 'Shen', ""Kai'Sa"", 'Morgana']","['Anxop', 'ImTheGeneral99', 'TheArcher34', '34maiky34', 'Wanderlusted']","['Yasuo', 'Graves', 'Lux', 'Jhin', 'Yuumi']"
Victory,Zyra,"['Arcane Comet', 'Domination']",7 / 3 / 8,"['1Br0k31t', 'IRoBoTT499', 'DarthDogie', 'nocamaleon', 'Mandu12367']","['Irelia', 'Zed', 'Azir', 'Fiora', 'Nocturne']","['TheArcher34', 'Anxop', 'Xaminos', '34maiky34', 'Wanderlusted']","['Akali', 'Nasus', 'Lux', 'Orianna', 'Zyra']"
Defeat,Nami,"['Electrocute', 'Sorcery']",0 / 4 / 2,"['Anxop', 'TheArcher34', 'Calvusss', '34maiky34', 'Wanderlusted']","['Teemo', 'Amumu', 'Veigar', 'Draven', 'Nami']","['EliderJG', 'rainbowyoshi', 'maikarm', 'Nihilcuros', 'RampageOnRubick']","['Quinn', ""Bel'Veth"", 'Sett', 'Samira', 'Leona']"
Victory,Nami,"['Electrocute', 'Sorcery']",3 / 6 / 24,"['Calvusss', 'Anxop', 'TheArcher34', '34maiky34', 'Wanderlusted']","['Vayne', ""Bel'Veth"", 'Ezreal', 'Samira', 'Nami']","['AGB Broil', 'dakkante', 'Pumtiros93', 'lordepslon', 'Khavilon']","['Tryndamere', 'Nasus', 'Lux', 'Tristana', 'Leona']"
Victory,Nami,"['Electrocute', 'Sorcery']",6 / 9 / 9,"['haha okay', 'Calvusss', 'Anxop', '34maiky34', 'Wanderlusted']","['Teemo', ""Bel'Veth"", 'Yone', 'Samira', 'Nami']","['JOKESalwaysNEW', 'pbougba', 'Aihamoo', 'Y3G GoodGuy', 'wrjvfoxgp']","['Wukong', 'Aatrox', 'Ziggs', 'Ashe', 'Thresh']"
Victory,Ziggs,"['Dark Harvest', 'Precision']",5 / 11 / 26,"['Kepa Jametxoo', 'Alextrato', 'Globsnarf', 'BubbleKush420KK', 'softxayah']","['Twisted Fate', 'Varus', 'Azir', 'Lucian', 'Quinn']","['Grammar', 'Raaawrr', 'Wanderlusted', '34maiky34', 'TheArcher34']","['Gangplank', 'Caitlyn', 'Ziggs', 'Lee Sin', 'Nidalee']"
Defeat,Senna,"['Lethal Tempo', 'Domination']",5 / 7 / 24,"['SnpaïNekoSan', 'SailorMoun', 'Lowpass filter', 'ZxelA', 'bulletsto']","['Ashe', 'Camille', 'Tristana', 'Maokai', 'Pantheon']","['Bolschack', 'Wanderlusted', 'Longlingtime', '34maiky34', 'TheArcher34']","['Irelia', 'Senna', 'Jarvan IV', 'Nunu & Willump', 'Xerath']"
Defeat,Nami,"['Electrocute', 'Sorcery']",4 / 8 / 17,"['Pomatanne', 'FiddleSteal', 'XenonSama', 'PidasuRay', 'UnlooseGoose']","['Mordekaiser', 'Sejuani', 'Katarina', 'Lucian', 'Galio']","['OMG ITS YREKZ', 'OMGITSCYPA', '34maiky34', 'TheArcher34', 'Wanderlusted']","['Jax', 'Amumu', 'Swain', 'Zed', 'Nami']"
Defeat,Sona,"['Summon Aery', 'Inspiration']",1 / 7 / 12,"['Li7', 'Anxop', 'TheArcher34', '34maiky34', 'Wanderlusted']","['Camille', 'Warwick', 'Garen', 'Seraphine', 'Sona']","['HOLAMACA', 'XxRufyGaMeR00HD', 'Hanhel', 'Pau el Gran', 'Loina97']","['Swain', 'Wukong', 'Orianna', 'Caitlyn', 'Lux']"
Defeat,Vel'Koz,"['Arcane Comet', 'Inspiration']",2 / 6 / 10,"['Ikerrd2115', 'NoraMa', 'Boerkz', 'Megiino', 'BookYuu']","['Sett', 'Kindred', 'Ahri', 'Zeri', 'Yuumi']","['Anxop', 'Spooky Mangos', 'Isac Newton Stan', '34maiky34', 'Wanderlusted']","['Pantheon', 'Dr. Mundo', 'Ryze', 'Samira', ""Vel'Koz""]"
Defeat,Heimerdinger,"['Arcane Comet', 'Inspiration']",1 / 10 / 4,"['JustNice01', 'Cocorita', 'CroooKa', 'Saliou221', 'jptjpt']","['Garen', 'Nunu & Willump', 'Ekko', 'Ashe', 'Sett']","['Anxop', 'Ruined KFrost', 'Draconlight17', '34maiky34', 'Wanderlusted']","['Volibear', 'Gwen', 'Zeri', 'Caitlyn', 'Heimerdinger']"
